"Quantity"	"Price"
6	2.55
6	3.39
8	2.75
6	3.39
6	3.39
2	7.65
6	4.25
6	1.85
6	1.85
6	4.25
3	4.95
3	4.95
3	4.95
32	1.69
6	2.1
6	2.1
8	3.75
6	1.65
6	4.25
3	4.95
2	9.95
3	5.95
3	5.95
4	7.95
4	7.95
3	5.95
24	3.75
24	3.75
12	3.75
12	0.85
24	0.65
48	0.85
24	1.25
18	2.95
24	2.95
24	1.95
24	1.95
24	1.95
20	0.85
24	1.65
24	2.95
12	3.75
24	0.42
24	0.42
36	0.65
3	18
80	2.55
6	1.85
6	1.85
6	2.55
6	3.39
8	2.75
6	4.95
6	1.06
6	1.06
6	1.06
6	1.06
2	4.95
4	6.95
6	2.1
6	2.55
6	3.39
6	3.39
2	7.65
6	4.25
32	10.95
6	2.55
6	3.39
8	2.75
6	4.95
6	1.06
6	1.06
6	1.06
6	1.06
2	4.95
4	6.95
6	2.1
6	2.55
6	3.39
6	3.39
2	7.65
6	4.25
48	3.45
64	2.55
6	1.85
6	1.85
10	1.95
10	1.95
10	2.95
10	0.85
12	3.75
6	3.75
12	0.85
10	1.65
6	2.55
6	2.55
120	0.42
24	0.55
24	0.55
24	0.55
6	2.95
48	1.25
96	0.38
10	1.95
10	1.95
24	1.45
23	4.25
5	4.95
10	1.95
2	2.1
6	1.25
24	1.25
24	1.25
1	1.25
1	0.85
1	2.55
10	1.65
3	1.69
1	1.95
2	2.1
1	2.95
1	2.95
4	2.95
1	2.95
6	0.85
3	1.25
2	2.55
1	0.85
1	0.85
1	1.45
1	4.95
2	2.95
2	5.95
2	5.95
4	1.45
1	2.95
1	1.95
2	1.65
3	3.95
36	1.06
10	6.75
-1	27.5
12	0.85
8	3.75
12	1.65
10	1.95
10	2.1
50	1.85
8	2.95
4	3.75
12	5.95
2	14.95
2	14.95
4	16.95
-1	4.65
3	6.45
48	0.65
12	1.65
6	2.95
12	2.95
40	1.45
40	2.55
6	2.95
2	12.75
4	3.95
3	5.95
6	6.95
8	10.95
1	19.95
12	1.45
6	4.25
10	1.95
12	1.25
2	8.5
10	1.65
36	4.95
100	1.65
100	1.65
192	3.82
192	3.37
192	3.37
432	1.45
432	1.25
3	5.95
3	5.95
2	7.95
3	4.95
3	4.25
6	2.95
12	1.65
12	0.42
12	0.85
12	1.45
12	0.85
4	6.75
12	1.65
12	1.65
6	8.5
8	4.95
12	1.25
6	5.45
4	6.35
6	5.95
3	5.95
2	8.5
4	3.75
4	3.75
2	8.5
2	8.5
24	1.65
24	0.85
2	8.5
12	3.75
12	1.45
48	0.72
48	0.72
8	8.5
144	0.64
40	2.55
288	0.1
64	2.55
100	0.72
50	1.45
12	4.25
96	0.64
96	0.64
48	0.65
144	0.32
40	4.95
24	4.25
24	3.39
24	3.75
48	1.48
96	1.25
100	1.65
-12	1.65
-24	0.29
-24	0.29
-24	0.29
-12	3.45
-12	1.65
-24	1.65
6	1.95
4	3.75
12	1.25
12	1.25
1	165
12	1.25
12	1.25
4	5.95
16	1.69
24	0.65
8	9.95
24	0.42
96	1.85
96	1.85
96	1.85
96	1.85
12	4.95
12	3.75
48	1.25
12	2.1
32	2.55
20	1.65
8	3.95
32	1.69
24	0.55
24	0.55
24	0.55
8	3.45
8	2.1
4	3.75
8	3.75
8	3.75
8	3.75
8	3.95
48	2.1
48	2.1
12	4.65
48	4.65
6	2.55
6	3.39
8	2.75
6	4.95
6	4.95
6	1.06
6	1.06
6	1.06
6	1.06
2	4.95
4	6.95
6	2.1
12	2.55
6	3.39
6	3.39
2	7.65
2	35.75
6	4.25
6	1.85
6	1.85
24	0.29
6	2.95
4	6.75
8	2.55
6	8.5
2	7.95
12	2.1
12	2.1
12	2.1
12	1.25
12	1.65
6	3.35
4	3.95
8	4.65
9	4.95
4	3.75
9	4.95
12	1.45
1	2.55
1	1.25
2	1.25
1	2.95
1	3.35
1	1.45
1	1.25
2	1.25
1	1.65
4	1.45
1	1.25
1	4.95
2	3.75
2	1.25
2	9.95
1	9.95
1	5.95
1	4.25
3	4.95
1	2.55
1	2.95
2	1.69
1	7.95
1	0.55
1	0.55
2	0.55
4	2.95
2	2.1
1	2.1
1	1.25
1	0.85
3	0.55
1	2.95
1	2.95
2	1.25
3	1.25
1	1.25
1	1.25
2	1.65
2	2.95
2	2.95
1	5.95
1	1.25
2	2.55
9	0.85
1	1.65
4	2.95
3	2.95
1	5.95
1	7.95
1	1.65
2	1.65
1	1.65
1	1.65
5	2.55
3	2.95
3	2.95
9	2.55
1	16.95
4	2.95
1	10.65
1	4.25
2	6.95
2	5.95
40	2.55
40	2.55
36	4.25
96	1.85
1	15
24	1.25
12	1.25
12	1.25
12	1.25
12	1.25
12	1.65
36	0.85
12	1.25
12	1.25
12	1.25
12	1.25
12	1.25
12	1.25
12	0.85
12	0.85
12	0.85
12	1.25
12	1.25
12	2.1
24	0.55
24	0.55
24	0.55
24	0.55
24	0.55
10	1.65
10	1.65
10	1.65
24	1.65
128	2.55
8	2.55
8	3.39
8	2.75
6	4.95
6	1.06
6	1.06
6	1.06
6	1.06
4	4.95
4	6.95
6	2.1
6	2.55
6	3.39
6	3.39
2	7.65
2	35.75
6	4.25
6	1.85
6	1.85
24	0.42
24	0.42
12	0.85
12	1.65
12	1.25
12	1.25
12	0.85
12	1.95
4	3.95
4	3.75
4	3.75
6	2.1
12	2.1
24	0.85
12	1.25
12	0.95
6	2.95
12	1.65
6	1.65
2	7.95
2	7.95
12	1.65
12	0.85
8	1.69
3	5.95
3	5.95
8	2.95
36	0.85
12	0.42
25	0.42
4	4.25
3	5.95
3	5.95
6	3.75
24	0.55
12	1.45
3	4.95
12	1.65
30	0.21
12	0.42
12	1.95
6	2.55
12	2.55
10	1.65
36	0.65
12	1.25
4	3.75
12	1.65
3	6.35
1	3.75
1	4.95
1	6.75
1	1.25
1	1.65
1	2.1
1	3.75
1	2.1
1	2.1
1	2.95
1	1.25
1	1.25
1	2.95
1	2.95
1	6.35
1	7.95
1	4.25
1	3.75
5	2.1
1	0.42
1	1.25
1	6.75
6	0.85
6	0.85
1	2.95
3	2.95
2	1.95
12	1.25
28	0.21
24	0.12
1	5.95
1	1.25
1	1.65
1	1.25
12	0.65
1	5.95
1	1.65
1	2.95
1	1.95
2	1.25
1	4.95
2	6.35
1	2.1
1	2.1
1	1.65
3	1.45
3	1.45
6	0.42
2	0.85
2	1.95
1	1.95
1	1.25
1	0.85
1	2.95
12	0.29
1	4.95
1	4.95
3	1.65
3	1.65
1	2.95
4	1.65
3	1.65
3	1.65
1	2.95
1	2.95
1	1.95
1	1.95
1	1.69
1	1.69
1	1.69
1	1.69
1	2.95
1	2.95
3	4.25
5	1.65
1	1.65
10	0.65
1	2.95
1	1.65
3	1.25
24	1.45
2	1.65
3	4.65
2	3.75
1	4.25
1	3.75
2	1.65
2	2.95
1	1.25
6	1.65
1	2.1
2	2.1
3	1.65
7	1.65
1	1.65
5	1.65
5	1.65
12	1.25
5	1.65
1	1.65
2	2.95
5	2.95
2	2.95
1	2.95
2	2.95
1	3.75
2	3.75
1	0.95
2	2.95
3	3.75
1	2.1
1	2.1
3	3.75
2	3.75
1	1.65
1	2.95
2	3.75
2	1.65
4	9.95
7	2.1
2	1.65
7	2.1
1	4.95
1	4.95
1	4.95
2	6.75
5	0.85
2	2.95
1	4.95
2	6.75
1	1.65
1	2.95
1	4.95
2	2.95
1	4.95
6	1.25
1	2.95
1	7.95
56	0
10	0.55
5	2.95
3	1.65
3	1.65
3	1.65
5	0.85
2	1.25
5	2.95
3	1.45
1	2.95
1	5.95
5	1.65
4	1.45
6	0.85
3	1.25
5	2.1
3	0.85
4	2.1
3	2.95
3	1.45
12	0.85
5	0.85
4	0.85
6	0.85
12	0.29
2	3.75
12	0.29
1	1.25
2	2.1
3	1.95
3	8.5
3	8.5
6	2.95
2	4.25
2	0.55
2	0.55
2	0.55
3	0.55
3	2.1
3	2.1
3	2.1
3	2.1
2	0.42
4	0.85
3	0.85
3	0.85
2	4.95
3	1.65
3	1.65
3	1.65
3	0.42
3	0.42
3	0.42
3	0.42
3	2.95
3	4.65
2	1.25
2	3.75
12	2.95
12	1.25
72	1.25
12	1.95
4	9.95
4	9.95
6	2.95
12	1.25
12	1.25
12	1.25
6	2.95
12	1.25
8	2.55
8	2.55
4	3.75
3	4.95
6	2.55
6	2.95
4	4.25
6	2.95
12	1.45
4	3.75
6	2.95
12	2.1
8	4.65
8	3.75
8	4.95
8	3.75
16	4.95
8	3.75
8	4.65
12	1.25
8	4.95
12	2.55
6	2.55
12	1.45
12	1.45
12	1.45
12	1.45
8	3.75
3	4.25
4	3.75
6	3.35
6	3.35
2	9.95
2	9.95
12	1.45
200	1.06
72	3.39
600	0.24
48	1.25
36	3.39
48	1.25
32	0.42
2	1.45
2	2.1
6	1.25
12	1.25
48	1.25
1	1.95
5	0.85
6	2.55
24	1.25
12	1.25
2	1.65
2	1.65
2	1.65
10	0.85
10	0.42
2	2.95
2	1.25
8	3.75
6	1.25
12	2.55
24	1.25
3	1.95
6	1.65
6	1.65
10	2.95
2	9.95
4	2.55
4	2.55
24	0.42
16	0.42
24	1.25
12	1.25
12	2.55
24	0.55
24	1.69
12	1.69
2	5.95
4	5.95
2	5.95
24	0.55
6	4.95
8	3.45
2	5.95
2	7.95
24	1.25
12	1.45
2	4.25
2	1.65
2	4.25
3	1.65
1	1.65
1	4.25
3	4.25
1	4.25
1	1.95
1	1.95
8	1.69
1	2.95
1	1.65
1	3.25
2	2.95
1	0.29
1	0.29
1	1.25
1	1.25
1	1.25
1	1.65
2	1.95
6	1.95
5	0.85
1	0.55
1	3.75
1	0.42
1	2.95
1	2.95
1	1.25
2	1.65
2	0.55
6	0.85
2	1.45
4	1.45
2	1.45
2	0.85
1	2.95
1	0.85
1	0.85
2	0.85
1	2.95
1	1.25
1	1.25
1	1.95
1	1.65
1	1.65
1	1.65
1	2.1
2	1.25
1	2.1
3	2.1
2	1.49
1	2.1
6	0.85
1	2.55
1	0.55
2	0.55
3	1.25
1	1.25
1	1.25
1	1.65
1	1.45
3	0.85
5	0.85
5	1.65
2	4.95
1	2.95
1	1.65
1	1.65
1	1.65
1	2.95
1	2.95
1	7.95
1	1.95
1	4.25
1	0.85
2	0.85
1	2.1
1	0.85
8	1.45
1	2.1
1	2.95
6	0.85
1	1.95
6	4.25
12	1.45
48	1.85
24	3.39
480	3.39
48	2.1
16	1.25
16	1.25
4	3.75
96	0.72
144	0.72
144	0.72
12	2.1
12	2.1
16	10.95
10	1.95
5	1.65
1	8.5
8	4.25
5	1.65
1	3.75
1	2.95
1	1.25
2	1.25
1	2.55
1	2.55
1	2.25
1	0.85
1	2.95
2	0.85
12	0.42
1	2.95
2	6.35
1	2.55
1	4.25
1	1.45
1	4.25
1	6.75
1	0.95
1	4.25
1	2.1
1	2.1
1	1.65
3	1.25
3	1.65
1	4.25
1	1.65
3	2.55
1	1.95
2	2.1
2	2.1
10	4.95
10	1.55
2	1.95
12	0.29
12	0.42
12	0.42
12	0.42
3	3.75
2	3.75
2	3.95
7	2.95
3	2.95
3	2.95
6	5.95
6	5.95
16	1.69
3	4.95
12	0.85
6	2.95
2	12.75
-6	4.25
72	1.06
144	0.55
36	2.1
4	12.75
6	2.95
36	2.1
36	2.1
1	6.75
1	1.25
1	2.1
1	5.95
2	2.55
16	0.85
1	2.95
4	2.1
3	2.1
1	1.25
1	1.25
1	12.75
2	3.75
1	2.95
1	3.75
14	0.42
4	2.55
4	2.55
3	2.55
2	1.25
1	1.65
1	1.65
1	1.95
2	1.65
6	1.65
1	0.85
5	1.95
3	1.95
2	0.65
1	0.65
3	0.65
2	0.65
2	0.65
1	0.65
3	2.95
1	1.95
3	3.75
12	1.65
3	2.55
12	0.42
1	2.1
2	2.1
2	2.1
2	2.55
3	2.55
2	1.25
3	2.95
2	2.95
3	0.85
1	1.25
1	1.65
1	1.25
1	1.25
1	2.55
2	1.25
1	1.25
1	1.25
1	1.25
1	1.25
12	0.29
2	2.1
2	0.95
1	1.95
1	2.55
2	1.65
12	0.42
1	1.45
1	2.1
1	1.25
1	2.95
1	9.95
1	4.95
1	3.75
1	2.1
1	2.1
1	3.75
1	1.25
1	3.75
1	2.95
2	3.75
1	4.25
1	0.85
2	2.1
1	2.1
2	2.1
1	9.95
2	0.65
2	1.25
1	3.35
1	1.65
1	0.85
1	1.25
2	0.42
2	1.25
12	0.65
1	4.25
1	12.75
1	0.85
5	1.65
2	1.25
1	8.5
2	1.25
1	0.42
1	1.25
1	2.95
2	3.75
1	1.65
1	3.75
1	1.25
3	1.65
1	5.95
2	1.25
2	2.55
1	5.95
2	3.75
1	1.95
1	1.25
1	1.25
1	5.95
1	0.85
1	3.75
1	2.1
1	1.25
3	1.25
1	1.95
1	1.95
6	4.95
2	6.75
6	2.1
3	4.95
2	5.95
12	1.45
6	2.95
12	1.25
24	0.65
12	0.85
3	4.95
24	1.25
6	2.95
6	2.95
6	2.95
6	2.95
2	1.25
1	1.25
1	1.25
1	2.1
2	0.42
2	12.75
1	4.25
1	6.95
3	0.65
2	0.65
1	2.95
2	2.95
10	7.95
16	1.69
16	2.95
2	8.5
6	8.5
6	8.5
20	1.95
10	1.95
10	1.95
8	3.75
6	2.95
6	2.55
12	0.85
12	1.65
12	1.95
12	1.65
24	0.42
10	1.95
10	1.95
4	4.65
12	1.45
12	1.65
12	1.25
12	1.45
1	18
12	0.42
1	2.1
6	1.25
1	2.55
1	1.45
1	1.65
3	1.95
6	1.25
1	14.95
2	2.55
12	0.85
3	1.95
1	1.95
2	1.65
1	0.29
1	2.95
1	2.1
1	2.95
4	2.95
1	1.65
1	1.25
2	1.65
1	1.25
2	2.1
3	2.1
3	2.95
2	0.85
1	4.25
1	1.65
1	1.65
2	1.65
1	12.75
2	2.95
1	1.95
3	1.95
2	2.55
2	2.95
1	2.95
1	2.95
5	1.25
1	2.95
1	2.95
1	2.95
2	2.95
1	1.45
1	1.95
2	2.95
1	2.95
1	1.45
4	2.95
3	3.75
1	3.75
1	9.95
1	9.95
1	9.95
1	14.95
3	9.95
3	4.95
2	16.95
6	2.95
4	4.25
6	2.95
12	0.85
1	12.75
2	8.5
2	9.95
2	2.95
1	2.95
1	6.95
4	2.95
24	1.25
1	8.5
1	9.95
1	12.75
1	2.95
1	6.95
1	19.95
1	1.25
1	1.45
1	1.25
4	1.65
1	1.25
1	5.95
8	2.95
6	1.45
1	3.95
2	3.75
2	4.95
6	1.95
24	0.42
24	0.42
24	0.42
25	0.42
25	0.42
12	5.95
12	5.95
12	5.95
25	0.42
25	0.42
25	0.42
12	2.95
9	3.75
9	3.75
9	3.75
80	2.55
40	2.55
2	8.5
4	8.5
4	8.5
4	8.5
4	7.95
6	9.95
50	0.42
96	1.06
8	2.1
8	1.95
24	1.65
36	1.65
24	1.65
24	1.65
24	1.65
24	0.42
24	0.42
24	0.42
24	0.42
24	0.42
24	0.42
24	0.42
24	0.42
24	1.65
24	0.42
12	0.42
12	0.42
12	0.42
12	0.42
12	2.1
12	2.1
12	2.1
8	3.95
48	0.29
48	0.29
48	0.29
12	1.25
48	0.29
48	0.29
48	0.29
48	0.29
12	1.25
12	1.25
48	0.29
36	1.65
24	0.42
36	0.85
12	0.85
12	0.85
24	1.45
24	2.1
24	1.25
24	1.25
24	1.25
24	1.25
12	2.1
72	1.25
24	0.55
24	0.55
24	0.55
24	0.55
24	0.55
48	1.65
72	0.85
12	1.25
12	2.95
12	2.95
12	2.95
24	1.49
24	1.25
12	2.55
12	1.95
24	2.1
24	2.1
6	2.95
2	7.95
6	6.75
24	1.25
12	3.25
6	2.1
48	0.85
2	7.95
20	1.25
3	16.95
1	10.95
12	2.1
12	2.1
12	2.1
12	2.1
3	4.95
3	4.95
3	4.95
3	5.95
3	6.95
3	4.95
12	0.85
2	7.95
2	7.95
2	7.95
8	1.95
24	0.85
6	2.95
3	4.95
80	1.69
12	1.25
36	2.1
8	1.65
36	1.25
12	2.95
12	2.95
6	6.75
2	12.75
8	2.95
8	3.75
8	3.75
2	7.65
1	3.75
1	3.75
1	3.75
1	3.75
1	7.95
1	7.95
1	7.95
12	1.25
6	1.65
5	2.95
5	2.95
2	2.95
4	3.75
2	8.5
6	1.65
1	2.95
5	1.65
2	2.95
8	1.65
2	2.95
2	2.55
2	2.55
3	1.95
2	4.25
10	0.85
10	0.85
10	0.85
10	0.85
10	0.85
10	0.65
10	0.42
12	1.45
18	1.45
4	3.75
6	2.95
2	8.5
2	7.95
8	2.95
1	18.95
2	7.95
2	7.95
2	7.95
3	6.95
6	2.95
2	12.75
6	2.95
12	1.65
12	1.65
4	4.25
3	4.25
2	6.35
8	1.65
12	2.1
12	2.1
4	4.25
4	3.95
6	2.95
5	2.1
4	9.95
6	2.95
6	2.55
50	0.85
6	2.25
6	2.25
12	1.45
12	1.95
36	0.65
24	1.65
12	1.69
2	7.95
2	7.95
2	7.95
4	8.95
4	8.95
24	1.25
12	1.25
6	9.95
1	50
12	1.25
10	1.65
10	1.65
20	1.65
30	1.95
40	1.95
20	2.1
20	1.95
30	1.95
20	1.95
20	1.95
20	1.95
30	1.95
40	1.95
20	1.95
30	1.95
32	2.95
-1	2.1
-2	0.85
1	2.51
2	2.51
4	0.85
2	1.66
9	1.66
2	2.51
10	0.43
9	0.43
11	0.43
1	2.51
3	2.51
1	2.51
1	7.62
1	4.21
2	2.98
2	5.91
1	4.21
1	3.36
5	3.36
1	3.36
1	1.66
1	1.66
1	7.62
2	2.51
3	2.51
1	2.51
1	3.36
3	7.62
1	7.62
3	2.51
2	2.51
2	16.98
1	4.21
1	3.36
2	1.66
1	1.66
1	2.51
1	1.28
1	1.28
1	0.85
2	2.51
1	2.51
6	2.51
4	2.51
1	0.85
1	0.43
1	3.36
1	3.36
1	3.36
1	3.36
1	3.36
1	7.62
1	3.36
1	3.36
3	3.36
1	3.36
1	3.36
1	3.36
4	5.91
33	5.91
2	5.91
1	5.91
2	2.51
1	2.51
1	7.62
2	7.62
2	11.02
1	0
2	11.02
3	8.47
2	5.91
2	8.47
1	0.85
5	0.85
4	4.21
4	4.21
1	4.21
1	0.85
1	0.85
3	0.85
3	1.66
10	0.81
2	3.36
1	16.98
2	3.36
13	2.51
1	4.21
1	3.36
1	8.47
3	2.51
1	3.36
2	1.66
2	1.66
4	3.36
1	7.62
1	8.47
3	1.66
1	5.91
2	1.28
1	5.91
4	2.51
1	3.36
1	2.51
1	2.51
1	5.06
2	5.06
1	5.06
9	3.36
1	5.91
1	5.91
4	1.28
4	1.28
1	1.66
3	1.66
3	1.66
9	1.66
1	8.47
2	5.91
2	5.91
2	5.91
1	4.21
1	8.47
2	8.47
1	8.47
2	4.21
2	4.21
1	4.21
1	4.21
2	4.21
1	5.06
1	2.51
1	1.66
4	0.85
2	1.28
40	12.72
1	10.17
1	4.21
1	1.66
1	2.51
2	6.77
6	5.91
8	3.36
1	5.91
1	11.02
1	11.02
2	2.51
1	2.51
1	2.51
1	20.38
1	0.85
2	2.51
2	8.47
1	4.21
1	4.21
1	4.21
5	0.85
8	0.85
4	0.85
1	0.85
1	0.85
1	2.51
1	3.36
2	7.62
1	3.36
1	3.36
4	2.51
1	2.51
1	7.62
1	1.66
5	1.66
1	1.66
1	11.87
1	5.06
1	5.06
3	5.06
1	5.06
1	1.66
1	1.66
2	1.66
4	1.66
1	25.49
1	0.85
3	0.85
7	2.51
2	16.98
1	4.21
1	4.21
1	20.38
1	5.06
1	3.36
1	3.36
1	3.36
3	1.66
1	11.87
2	4.21
4	4.21
1	5.91
2	5.91
1	5.91
2	2.51
4	4.21
2	3.36
6	5.91
2	5.91
1	2.51
2	7.62
1	7.62
2	7.62
1	7.62
3	5.06
1	3.36
3	3.36
1	3.36
13	1.66
8	1.66
1	5.91
1	4.21
1	4.21
3	1.66
3	2.51
2	2.51
3	3.36
1	25.49
1	51.02
3	2.51
2	1.66
2	5.91
2	4.21
1	4.21
4	0.85
6	0.85
1	12.72
4	9.32
1	9.32
1	16.98
1	34
1	8.47
1	4.21
4	4.21
4	4.21
1	4.21
2	4.21
1	5.91
2	3.36
3	1.66
4	5.91
1	1.66
1	1.66
1	1.66
1	1.66
1	1.66
1	1.66
1	11.87
2	8.47
1	11.02
2	6.77
1	2.98
2	1.28
1	1.28
1	4.21
7	8.47
9	3.36
4	1.66
1	1.66
3	2.51
1	3.36
1	3.36
3	3.36
2	2.51
1	2.51
3	2.51
2	0.84
1	0.84
1	2.51
1	2.51
1	5.91
1	2.51
1	3.36
2	1.66
1	1.66
1	2.51
1	16.13
1	21.23
1	18.68
2	2.51
1	5.06
2	1.66
1	4.21
2	0.85
1	14.43
5	3.36
1	8.47
8	1.69
1	0.85
2	3.36
2	3.36
1	8.47
1	8.47
1	8.47
1	2.51
2	1.66
1	12.72
1	12.72
1	10.17
1	2.51
1	1.28
1	1.28
1	4.21
1	2.51
1	2.51
1	2.51
1	7.62
1	7.62
4	4.21
1	4.21
8	3.36
4	3.36
3	4.21
1	4.21
1	8.47
4	5.06
1	1.28
2	12.72
1	2.51
2	2.51
1	0.85
1	0.85
2	1.66
3	1.66
1	16.98
3	2.51
1	2.51
1	2.51
1	11.02
1	4.21
11	3.36
3	1.66
4	5.91
2	10.17
1	2.51
2	0.85
2	8.47
1	8.47
1	8.47
1	4.21
5	1.66
1	1.66
1	2.51
1	0.85
10	0.85
2	1.66
1	4.95
1	3.81
1	4.24
1	3.81
1	1.26
1	5.06
1	2.51
1	4.24
2	1.66
1	1.66
1	5.09
1	2.96
1	4.24
1	4.24
1	4.24
1	2.11
1	0.85
1	0.85
1	0.85
1	0.85
1	0.85
1	569.77
4	4.21
1	2.51
5	2.51
2	1.66
1	1.49
3	0.85
3	0.85
1	4.21
1	4.21
2	0.43
1	5.91
1	0.85
3	1.66
2	3.36
1	3.36
3	3.36
1	4.21
30	2.51
1	3.36
1	2.98
3	1.28
6	1.65
6	1.65
3	2.1
3	2.1
2	3.75
